barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
La Loma,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4
La Loma de los Bernal,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,4
La Loma Oriental,0.0,7.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,4
La Mansión,0.0,41.0,1.0,0.0,116.0,35.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,1
La Milagrosa,0.0,75.0,2.0,0.0,200.0,72.0,0.0,1.0,0.0,0.0,0.0,323.0,0.0,0.0,1
La mota,0.0,30.0,1.0,23.0,83.0,61.0,0.0,1.0,0.0,0.0,0.0,433.0,0.0,1.0,1
La Oculta,1.0,5.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,4
La Palma,2.0,65.0,6.0,3.0,137.0,65.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,1
La Pilarica,1.0,43.0,3.0,2.0,132.0,70.0,0.0,0.0,0.0,0.0,0.0,529.0,0.0,0.0,1
La Piñuela,0.0,57.0,2.0,0.0,79.0,44.0,0.0,0.0,0.0,0.0,1.0,292.0,0.0,0.0,1
La Pradera,1.0,66.0,0.0,0.0,70.0,77.0,0.0,1.0,0.0,0.0,0.0,281.0,0.0,0.0,1
La Rosa,0.0,71.0,2.0,0.0,36.0,40.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,1
Las Acacias,0.0,76.0,6.0,301.0,251.0,123.0,0.0,2.0,1.0,0.0,0.0,967.0,0.0,1.0,2
La Salle,2.0,173.0,5.0,0.0,67.0,92.0,0.0,0.0,0.0,0.0,0.0,486.0,0.0,0.0,1
Las Brisas,3.0,71.0,8.0,0.0,113.0,139.0,2.0,2.0,0.0,0.0,3.0,902.0,0.0,0.0,2
Las Esmeraldas,0.0,54.0,1.0,0.0,59.0,42.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,1
Las Estancias,1.0,78.0,1.0,0.0,23.0,70.0,2.0,0.0,0.0,0.0,1.0,244.0,0.0,0.0,1
Las Granjas,2.0,292.0,9.0,1.0,186.0,179.0,0.0,0.0,0.0,0.0,1.0,913.0,0.0,0.0,2
La Sierra,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4
Las Independencias,0.0,38.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,4
Las Lomas No.1,1.0,18.0,0.0,2.0,130.0,58.0,0.0,0.0,0.0,1.0,2.0,466.0,0.0,0.0,1
Las Lomas No.2,0.0,8.0,2.0,0.0,96.0,42.0,3.0,0.0,0.0,0.0,2.0,255.0,0.0,0.0,1
Las Mercedes,0.0,34.0,0.0,12.0,69.0,52.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,1
Las Palmas,1.0,61.0,1.0,4.0,144.0,85.0,3.0,0.0,0.0,0.0,0.0,480.0,1.0,1.0,1
Las Playas,0.0,31.0,5.0,0.0,141.0,58.0,0.0,1.0,0.0,0.0,0.0,436.0,0.0,0.0,1
Las Violetas,1.0,66.0,2.0,0.0,40.0,68.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,0.0,1
Laureles,1.0,70.0,4.0,62.0,552.0,102.0,2.0,1.0,0.0,1.0,0.0,1008.0,0.0,0.0,2
La Verde,0.0,3.0,1.0,56.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,4
Llanaditas,0.0,33.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,4
Loma de los Bernal,0.0,27.0,2.0,4.0,50.0,74.0,1.0,0.0,0.0,0.0,1.0,318.0,0.0,0.0,1
López de Mesa,0.0,94.0,5.0,65.0,132.0,174.0,0.0,0.0,1.0,0.0,0.0,636.0,0.0,0.0,2
Lorena,2.0,90.0,6.0,12.0,222.0,89.0,1.0,2.0,0.0,0.0,0.0,668.0,0.0,1.0,2
Loreto,1.0,145.0,3.0,0.0,96.0,106.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,2
Los Alcázares,0.0,53.0,1.0,0.0,148.0,66.0,0.0,1.0,0.0,0.0,0.0,305.0,0.0,0.0,1
Los Alpes,0.0,47.0,0.0,3.0,139.0,68.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,1
Los Ángeles,4.0,122.0,3.0,0.0,473.0,93.0,0.0,1.0,0.0,0.0,0.0,761.0,0.0,0.0,2
